Παλαιά Ονομασία,Παραλλαγή Παλαιάς Ονομασίας,Νέα Ονομασία,Παραλλαγή Νέας Ονομασίας,Γεωγραφικό Διαμέρισμα,Νομός,Επαρχία,Φ.Ε.Κ.,Σχόλια,Latitude,Longitude
Άνω Βάνιστα,Άνω Βάνιτσα,Άνω Κώμη,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.226808,21.8284235
Μπαμπά,,Τέμπη,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΛΑΡΙΣΗΣ,306/1927,,39.8596996,22.5298553
Καϊσλάρ,Μπαϊσλάρ,Τερψιθέα,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΛΑΡΙΣΗΣ,306/1927,,39.6190854,22.3514099
Καρατσόλι,,Αργυροπούλι,Αργυροπούλειον,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΤΥΡΝΑΒΟΥ,306/1927,,39.8266777,22.3080144
Σαρηχανλάρ,Σαριχανλάρ,Αλωνάκια,Αλωνάκιον,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.3076973,21.6711183
Ινέοβα,,Ακρινή,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.4384727,21.9080625
Πιτσούγγια,,Δασοχώρι,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΕΛΑΣΣΟΝΟΣ,18/1927,,39.6919526,22.4179663
Γκριτζόβαλι,,Βοτανοχώρι,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΤΥΡΝΑΒΟΥ,306/1927,,39.8172228,22.2375271
Κοτζά Ματλή,,Βατερόν,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.28996,21.73522
Δερελί,,Γόννος,Γόννοι,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΤΥΡΝΑΒΟΥ,306/1927,,39.8613472,22.4765928
Κιτσιλέρ,,Εληά,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΤΥΡΝΑΒΟΥ,306/1927,,39.0,22.0
Δρανίτσι,,Αντιφίλιπποι,,ΜΑΚΕΔΟΝΙΑ,ΚΑΒΑΛΑΣ,ΠΑΓΓΑΙΟΥ,179/1927,,40.9463863,24.2101661
Τσαλτζιλάρ,,Φιλώτας,,ΜΑΚΕΔΟΝΙΑ,ΦΛΩΡΙΝΗΣ,ΦΛΩΡΙΝΗΣ,18/1927,,40.6281574,21.7097763
Οκλεμέζ,Οκελεμέζ,Φαράγγι,,ΜΑΚΕΔΟΝΙΑ,ΦΛΩΡΙΝΗΣ,ΦΛΩΡΙΝΗΣ,18/1927,,40.712356,21.7881697
Βοεβοδίνα,,Σπηλιά,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΕΟΡΔΑΙΑΣ,18/1927,,40.4965302,21.8103366
Κατράνιτσα,Κατρανίτσα,Πύργοι,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΕΟΡΔΑΙΑΣ,18/1927,,40.6656873,21.8387826
Φίλιπποι,,Πέρνη,,ΜΑΚΕΔΟΝΙΑ,ΚΑΒΑΛΑΣ,ΝΕΣΤΟΥ,206/1927,← Καρατζά Κιόι,41.0011467,24.6355964
Οκτσιλάρ,Οξιλάρ,Αγία Σοφία,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΤΥΡΝΑΒΟΥ,306/1927,,39.6901459,22.3177964
Κάτω Καραδαναλί,,Κάτω Μαυρόλοφος,,ΘΕΣΣΑΛΙΑ,ΜΑΓΝΗΣΙΑΣ,ΑΛΜΥΡΟΥ,306/1927,,39.0,22.0
Δέσιανη,,Αετόλοφος,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΑΓΙΑΣ,306/1927,,39.6870158,22.7250234
Όρχοβο,,Σταυροδρόμι,,ΜΑΚΕΔΟΝΙΑ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,76/1927,,41.30719,24.21505
Κάπιτσα,Κάπιστα,Σωτηρίτσα,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΑΓΙΑΣ,306/1927,,39.7402475,22.8074287
Τσάγεζι,,Στόμιον,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΑΓΙΑΣ,306/1927,,39.8658586,22.7451349
Τουρκοχώρι,,Νερόμυλοι,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΑΓΙΑΣ,306/1927,,39.7145611,22.7332668
Καχηρμανλή,Καραμανλή,Κρεμαστή,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.3584652,21.9364598
Ρέτσανη,,Μελίσσι,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΑΓΙΑΣ,306/1927,,39.0,22.0
Νιβόλιανη,,Μεγαλόβρυσον,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΑΓΙΑΣ,306/1927,,39.7358877,22.7533646
Αληφακλάρ,,Καλαμάκι,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΑΓΙΑΣ,306/1927,,39.570849,22.7440356
Σελίτσανη,,Ανατολή,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΑΓΙΑΣ,306/1927,,39.7453887,22.6963075
Αγία Άννα,,Αυλήαννα,Αβλιάνα,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,306/1927,← Ιντέλοβα,40.444384150000005,21.356326107982454
Κερμενλή,,Πρινιάς,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΑΓΙΑΣ,306/1927,,39.6533373,22.7145296
Μέγα Κεσερλί,,Συκούριον,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΛΑΡΙΣΗΣ,306/1927,,39.0,22.0
Κάτω Βάνιτσα,,Κάτω Κώμη,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.2100422,21.8432835
Σπούρτα,,Καρυδίτσα,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,179/1927,,40.2512422,21.7987268
Χατζή Χασανλή,Χασαναλή,Προσκυνητάρι,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.35071,21.96479
Χεϊμπελή,,Ίμερα,Ίμερα,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.2941508,22.0403847
Τοπουσλάρ,,Πλατύκαμπος,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΛΑΡΙΣΗΣ,306/1927,,39.6220381,22.5359613
Τσακιρλή,,Γαλάνι,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.3590112,21.8748723
Καρατζιλάρ,,Δρέπανον,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.34759,21.82806
Αντιφίλιπποι,,Παλαιοχώριον,,ΜΑΚΕΔΟΝΙΑ,ΚΑΒΑΛΑΣ,ΠΑΓΓΑΙΟΥ,179/1927,← Παλαιοχώρι,40.9463863,24.2101661
Τσιομπανλή,Τσοπουλή,Βοσκοχώρι,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.3816784,22.0076267
Ναλμπάνκιοϊ,,Περδίκκας,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΕΟΡΔΑΙΑΣ,18/1927,,40.5613388,21.6971767
Ισκιουπλέρ,Ισικού Κλέρ,Κοιλάδα,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.3582904,21.9278266
Νεζερός,,Καλλιπεύκη,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΤΥΡΝΑΒΟΥ,306/1927,,39.9667219,22.4599919
Δουρουτλάρ,,Προάστειον,Προάστιον,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΕΟΡΔΑΙΑΣ,18/1927,,40.31298,21.83445
Μπαλαμούτι,,Ιτιά,Ιτέα,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΤΥΡΝΑΒΟΥ,306/1927,,39.0,22.0
Ζούρτσα,,Κάτω Φυγαλία,Κάτω Φυγαλεία,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,39.0,22.0
Μουνδρά,,Φασκομηλιά,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,37.4386939,21.7506392
Ρίσοβο,,Κρουνοί,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,37.5765664,21.6167678
Κονούφι,,Έλος,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΕΟΡΔΑΙΑΣ,18/1927,→ Δροσερόν,40.31298,21.83445
Νίβιτσα,,Λιβαδάκι,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,37.5302585,21.8141533
Μπαράκον,,Μάκιστος,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,37.5308106,21.7315575
Άλβενα,Άλβαινα,Μίνθη,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,37.5031448,21.7642742
Μπιζμπάρδι,,Τρυπητή,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,37.5707573,21.7844869
Βερβίτσα,,Πετράλωνα,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,37.4376861,21.8319646
Φραγκότς,,Ερμακιά,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΕΟΡΔΑΙΑΣ,18/1927,,40.4982495,21.8511523
Τόγια,,Πλουτοχώρι,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,37.6130066,21.7097092
Βλάτση,,Πολυνέριον,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΕΟΡΔΑΙΑΣ,179/1927,→ Βλάστη,40.31298,21.83445
Χασάνκιοϊ,Χασόνκιοϊ,Ασβεστόπετρα,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΕΟΡΔΑΙΑΣ,18/1927,,40.4598583,21.6725028
Σμαρλίνα,,Στόμιον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,39.0,22.0
Μπεσχίνι,,Σχίνοι,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,37.4802198,21.6779441
Παύλιτζα,,Φυγαλία,Φυγαλεία,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,39.0,22.0
Σούλποβον,,Άρδασσα,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΕΟΡΔΑΙΑΣ,18/1927,,40.4777403,21.6341902
Ίνελι,,Ανατολικόν,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΕΟΡΔΑΙΑΣ,18/1927,,40.5444742,21.7481217
Δέβρη,,Αναρράχη,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΕΟΡΔΑΙΑΣ,179/1927,,40.4925975,21.5709095
Ραδούνιστα,,Κρυόβρυση,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΕΟΡΔΑΙΑΣ,18/1927,,40.483688,21.5978504
Μπάρτζελι,,Μυρωνία,Μυρώνια,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,37.4908316,21.8183413
Κρίμσια,,Μεσόβουνος,Μεσόβουνον,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΕΟΡΔΑΙΑΣ,18/1927,,40.31298,21.83445
Τσούκα,,Γήλοφος,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΕΛΑΣΣΟΝΟΣ,18/1927,,39.75954846775311,22.58233550475076
Ρογγόζιον,,Αλιφείρα,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,37.5298533,21.86454922679335
Δραϊνά,,Πευκί,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,37.5501497,21.8677316
Μουραλάρ,,Πελαργός,,ΜΑΚΕΔΟΝΙΑ,ΦΛΩΡΙΝΗΣ,ΦΛΩΡΙΝΗΣ,18/1927,,40.6143154,21.75467
Βολάντζα,,Αλφειούσα,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,37.6405617,21.5389353
Ζελέχοβα,,Αμυγδαλιές,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,37.4976974,21.845176
Ρακίτα,,Ολυμπιάς,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΕΟΡΔΑΙΑΣ,18/1927,,40.30388326844404,21.794256831087587
Λύγκα,,Μυλοχώρι,Μηλοχώριον,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΕΟΡΔΑΙΑΣ,179/1927,,40.4983969,21.518704574281983
Γλάτσα,,Ανήλιον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,39.0,22.0
Τσαταλάρ,,Πλατανούλια,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΤΥΡΝΑΒΟΥ,306/1927,,39.6767565,22.308213
Γολέμη,,Ροδινά,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,37.4913144,21.7180812
Ερτομούς,,Ποντοκώμη,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΕΟΡΔΑΙΑΣ,18/1927,,40.4104726,21.7611123
Καραμπουνάρ,,Μαυροπηγή,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΕΟΡΔΑΙΑΣ,18/1927,,40.4486549,21.733283
Ούτσανα,,Κομνηνόν,Κομνηνά,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΕΟΡΔΑΙΑΣ,18/1927,,40.51009621917504,21.679927681176945
Χαϊδαρλή,,Κλείτος,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΕΟΡΔΑΙΑΣ,18/1927,,40.4110209,21.876601
Κοζλούκιοϊ,,Καρυοχώρι,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΕΟΡΔΑΙΑΣ,18/1927,,40.5021535,21.7762986
Τρέμπενον,,Καρδιά,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΕΟΡΔΑΙΑΣ,179/1927,,40.40816395,21.789338191108364
Μουνδράζα,,Γρύλλος,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,37.5804686,21.6699273
Μπάρτζι,,Δαφνούλα,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,37.5908385,21.8667439
Μπρουμάζι,,Διάσελα,Διάσελλα,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,39.0,22.0
Μποϊκά,,Πλατειά,Πλατεία,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,37.4136569,21.8646816
Αγουλινίτσα,,Επιτάλιον,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,37.6136204,21.495919003848567
Τσουρβατζή,,Αρήνη,,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΗΛΕΙΑΣ,ΟΛΥΜΠΙΑΣ,306/1927,,37.5337646,21.5984452
Καρατζόλι,,Τρύπα,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΛΑΡΙΣΗΣ,306/1927,,39.0,22.0
Σφίλτσι,,Χρώμιον,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.13466,21.73953
Μεντεσλή,,Μοσχούλα,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.327442,21.7554158
Αλίτσι,,Κόκκινες,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΛΑΡΙΣΗΣ,306/1927,,39.4957712,22.6556976
Σουλεμέζ,,Καλό Νερό,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΛΑΡΙΣΗΣ,306/1927,,39.4485233,22.535665
Δραβουντάνιστα,,Σωληνάρι,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,→ Μεταμόρφωσις,40.31298,21.83445
Χατζή Ραχανλή,Χατζηρανλή,Μεσιανή,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,179/1927,,40.2623012,21.9252339
Σοφόμπασι,,Σοφόν,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΛΑΡΙΣΗΣ,306/1927,,39.0,22.0
Ισλαμλή,Λαμνήδες,Κοίλα,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.3302167,21.790968
Σενεκλή,,Μελίσσια,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.3288032,21.8044372
Δελίνιστα,,Γεράνια,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΕΛΑΣΣΟΝΟΣ,306/1927,,40.0113483,22.1352342
Σούμπασι,,Αγριοσυκιές,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΛΑΡΙΣΗΣ,306/1927,,39.0,22.0
Κριτσιλάρ,,Πουρναριά,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΛΑΡΙΣΗΣ,306/1927,,39.0,22.0
Μπλίσκα,,Καλόβατον,Καλόβατος,ΗΠΕΙΡΟΣ,ΑΡΤΗΣ,ΑΡΤΗΣ,206/1927,,39.0,22.0
Στρεβίνα,,Καμπή,,ΗΠΕΙΡΟΣ,ΑΡΤΗΣ,ΑΡΤΗΣ,76/1927,,39.2176982,20.8998467
Βρατσίστα,,Καστανιάς,Καστανέα,ΗΠΕΙΡΟΣ,ΑΡΤΗΣ,ΑΡΤΗΣ,76/1927,,39.235487126500814,21.235347096881164
Σχωρέτσανα,,Καταρράκτης,,ΗΠΕΙΡΟΣ,ΑΡΤΗΣ,ΑΡΤΗΣ,76/1927,,39.4488616,21.1028696
Καραγάτς,,Μαυροδένδρι,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.3804808,21.7694533
Αμαρλάρ,,Κοιλάς,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΛΑΡΙΣΗΣ,306/1927,,39.0,22.0
Ρεκίστιανα,,Ρείκια,Ρέικα,ΗΠΕΙΡΟΣ,ΑΡΤΗΣ,ΑΡΤΗΣ,76/1927,,39.0,22.0
Κλείτσοβο,,Κλειδί,,ΗΠΕΙΡΟΣ,ΑΡΤΗΣ,ΑΡΤΗΣ,76/1927,,39.1550371,21.2058014
Κόπραινα,,Αλυκή,,ΗΠΕΙΡΟΣ,ΑΡΤΗΣ,ΑΡΤΗΣ,76/1927,,39.04549691333437,21.072255444486384
Τουρκομουσλή,,Φιλίκια,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΛΑΡΙΣΗΣ,306/1927,,39.0,22.0
Μπακτσέ Λόβασι,,Κηπάρι,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.3266499,21.6750424
Φυτίβιανη,,Πολύφυτον,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,179/1927,,40.31298,21.83445
Ράχοβο,,Πολύρραχον,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,179/1927,,40.31298,21.83445
Ραδοβίστα,Ραδουβίστα,Ροδιανή,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,179/1927,,40.2025508,21.7513456
Ισικλάρ,,Λεβέντης,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.3653116,22.0372445
Χάντοβα,,Πολύμυλο,Πολύμυλος,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.31298,21.83445
Χατζή Ομουρλού,,Ροδίτης,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.267662,21.9383498
Μπιτζελή,,Κουβούκλια,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.2657275,21.9304899
Δεμιρτζιλέρ,,Σιδεράς,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.3849754,21.693647
Ταρακτσιλάρ,,Κτενάς,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.3808096,21.722735
Δέλινον,,Τριγωνικόν,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,179/1927,,40.31298,21.83445
Κιρμιζή Κιόι,,Κοκκιναράς,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.3151937,21.6605685
Κιουτσούκ Ματλή,,Σκαφίδι,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.31298,21.83445
Ντεντελέρ,Ντιντιλέρ,Σκήτη,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,179/1927,,40.3104621,21.6505703
Χατζή Μπαϊράκ,,Μύρα,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΛΑΡΙΣΗΣ,306/1927,,39.4546896,22.5455748
Σαρτακλή,,Σπάρτον,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.20294,21.87485
Τζιτζιλέρ,,Πετρανά,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.2908577,21.8651707
Ραχμανλή,,Γαλλιάνα,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.31298,21.83445
Σαρμουσαλάρ,,Φτελιά,Πτελέα,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.3306715,21.8790965
Ιλεσλή,Λεσλή,Οινόη,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.3210468,21.9146829
Σαχινλάρ,,Ξερολίμνη,Ξηρολίμνη,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,179/1927,,40.2970066,21.6597898
Τσικούρ Αμπά,Τσιουκούρ Αμπάρ,Γεράκι,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.31298,21.83445
Μπρένιστα,,Κορφοβούνι,,ΗΠΕΙΡΟΣ,ΑΡΤΗΣ,ΑΡΤΗΣ,76/1927,,39.2474392,20.9794257
Καλπουρτζιλάρ,,Κοσκινιά,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,→ Ανθότοπος,40.31298,21.83445
Δουγτζιλάρ,,Κοντοβούνι,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,18/1927,,40.2106479,21.8826642
Τουρασλάρ,,Περδικιά,,ΜΑΚΕΔΟΝΙΑ,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,179/1927,,40.31298,21.83445
Ζαβάκα,,Πολύδροσον,,ΗΠΕΙΡΟΣ,ΑΡΤΗΣ,ΑΡΤΗΣ,206/1927,,39.0,22.0
Μήγερι,,Τετράκωμον,,ΗΠΕΙΡΟΣ,ΑΡΤΗΣ,ΑΡΤΗΣ,76/1927,,39.0,22.0
Αραδοσίβια Ορτά,,Γαλανόβρυση,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΕΛΑΣΣΟΝΟΣ,306/1927,,39.8478209,22.1734716
Αραδοσίβια Ζεϊνέλ,,Στεφανόβουνο,,ΘΕΣΣΑΛΙΑ,ΛΑΡΙΣΗΣ,ΕΛΑΣΣΟΝΟΣ,306/1927,,39.8452661,22.1808303
